# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
5800.0 1000 0.004 0.401 0.015 0.428 0.002015 0.001976 0.001995 3.448e+04 3.921e+04 3.685e+04 2.206 -1.783 0.2117 4.009e+05
5900.0 1000 0.004 0.399 0.015 0.430 0.002015 0.001976 0.001995 3.404e+04 3.957e+04 3.68e+04 2.189 -1.793 0.1979 4.009e+05
6000.0 1000 0.004 0.396 0.015 0.432 0.002015 0.001976 0.001995 3.361e+04 3.993e+04 3.677e+04 2.172 -1.804 0.184 4.009e+05
6100.0 1000 0.004 0.393 0.015 0.434 0.002015 0.001976 0.001995 3.317e+04 4.029e+04 3.673e+04 2.155 -1.815 0.1702 4.009e+05
6200.0 1000 0.004 0.391 0.016 0.436 0.002015 0.001976 0.001995 3.274e+04 4.065e+04 3.67e+04 2.138 -1.825 0.1563 4.009e+05
6300.0 1000 0.004 0.388 0.016 0.438 0.002015 0.001976 0.001995 3.232e+04 4.102e+04 3.667e+04 2.121 -1.836 0.1425 4.009e+05
6400.0 1000 0.004 0.386 0.016 0.440 0.002015 0.001976 0.001995 3.19e+04 4.139e+04 3.664e+04 2.104 -1.847 0.1287 4.009e+05
6500.0 1000 0.004 0.383 0.016 0.441 0.002015 0.001976 0.001995 3.148e+04 4.176e+04 3.662e+04 2.087 -1.857 0.1148 4.009e+05
6600.0 1000 0.004 0.381 0.016 0.443 0.002015 0.001976 0.001995 3.106e+04 4.213e+04 3.66e+04 2.07 -1.868 0.101 4.009e+05
6700.0 1000 0.004 0.378 0.016 0.445 0.002015 0.001976 0.001995 3.065e+04 4.25e+04 3.658e+04 2.053 -1.878 0.08713 4.009e+05
6800.0 1000 0.004 0.376 0.016 0.447 0.002015 0.001976 0.001995 3.024e+04 4.288e+04 3.656e+04 2.036 -1.889 0.07329 4.009e+05
6900.0 1000 0.004 0.373 0.016 0.449 0.002015 0.001976 0.001995 2.983e+04 4.326e+04 3.655e+04 2.018 -1.9 0.05945 4.009e+05
7000.0 1000 0.004 0.371 0.016 0.451 0.002015 0.001976 0.001995 2.943e+04 4.364e+04 3.654e+04 2.001 -1.91 0.0456 4.009e+05
7100.0 1000 0.004 0.368 0.016 0.453 0.002015 0.001976 0.001995 2.903e+04 4.402e+04 3.653e+04 1.984 -1.921 0.03176 4.009e+05
7200.0 1000 0.004 0.366 0.016 0.455 0.002015 0.001976 0.001995 2.864e+04 4.441e+04 3.652e+04 1.967 -1.931 0.01792 4.009e+05
7300.0 1000 0.003 0.363 0.016 0.457 0.002015 0.001976 0.001995 2.825e+04 4.48e+04 3.652e+04 1.95 -1.942 0.004075 4.009e+05
7400.0 1000 0.003 0.361 0.016 0.459 0.002015 0.001976 0.001995 2.786e+04 4.519e+04 3.652e+04 1.933 -1.953 -0.009767 4.009e+05
7500.0 1000 0.003 0.358 0.016 0.461 0.002015 0.001976 0.001995 2.747e+04 4.558e+04 3.653e+04 1.916 -1.963 -0.02361 4.009e+05
7600.0 1000 0.003 0.356 0.017 0.463 0.002015 0.001976 0.001995 2.709e+04 4.597e+04 3.653e+04 1.899 -1.974 -0.03745 4.009e+05
7700.0 1000 0.003 0.353 0.017 0.465 0.002015 0.001976 0.001995 2.671e+04 4.637e+04 3.654e+04 1.882 -1.984 -0.05129 4.009e+05
7800.0 1000 0.003 0.351 0.017 0.467 0.002015 0.001976 0.001995 2.634e+04 4.677e+04 3.655e+04 1.865 -1.995 -0.06514 4.009e+05
7900.0 1000 0.003 0.348 0.017 0.469 0.002015 0.001976 0.001995 2.597e+04 4.717e+04 3.657e+04 1.848 -2.006 -0.07898 4.009e+05
8000.0 1000 0.003 0.346 0.017 0.471 0.002015 0.001976 0.001995 2.56e+04 4.757e+04 3.658e+04 1.831 -2.016 -0.09282 4.009e+05
8100.0 1000 0.003 0.343 0.017 0.473 0.002015 0.001976 0.001995 2.524e+04 4.797e+04 3.66e+04 1.814 -2.027 -0.1067 4.009e+05
8200.0 1000 0.003 0.341 0.017 0.475 0.002015 0.001976 0.001995 2.488e+04 4.838e+04 3.663e+04 1.796 -2.037 -0.1205 4.009e+05
8300.0 1000 0.003 0.338 0.017 0.477 0.002015 0.001976 0.001995 2.452e+04 4.879e+04 3.665e+04 1.779 -2.048 -0.1343 4.009e+05
8400.0 1000 0.003 0.336 0.017 0.479 0.002015 0.001976 0.001995 2.416e+04 4.92e+04 3.668e+04 1.762 -2.059 -0.1482 4.009e+05
8500.0 1000 0.003 0.333 0.017 0.481 0.002015 0.001976 0.001995 2.381e+04 4.961e+04 3.671e+04 1.745 -2.069 -0.162 4.009e+05
8600.0 1000 0.003 0.331 0.017 0.483 0.002015 0.001976 0.001995 2.347e+04 5.003e+04 3.675e+04 1.728 -2.08 -0.1759 4.009e+05
8700.0 1000 0.003 0.329 0.017 0.485 0.002015 0.001976 0.001995 2.312e+04 5.044e+04 3.678e+04 1.711 -2.091 -0.1897 4.009e+05
8800.0 1000 0.003 0.326 0.017 0.487 0.002015 0.001976 0.001995 2.278e+04 5.086e+04 3.682e+04 1.694 -2.101 -0.2036 4.009e+05
8900.0 1000 0.002 0.324 0.017 0.489 0.002015 0.001976 0.001995 2.244e+04 5.128e+04 3.686e+04 1.677 -2.112 -0.2174 4.009e+05
9000.0 1000 0.002 0.321 0.017 0.491 0.002015 0.001976 0.001995 2.211e+04 5.171e+04 3.691e+04 1.66 -2.122 -0.2312 4.009e+05
9100.0 1000 0.002 0.319 0.018 0.493 0.002015 0.001976 0.001995 2.178e+04 5.213e+04 3.696e+04 1.643 -2.133 -0.2451 4.009e+05
9200.0 1000 0.002 0.316 0.018 0.495 0.002015 0.001976 0.001995 2.145e+04 5.256e+04 3.701e+04 1.626 -2.144 -0.2589 4.009e+05
