# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
12600.0 1000 0.005 0.516 0.016 0.459 0.002016 0.001974 0.001994 5.699e+04 4.507e+04 5.103e+04 1.276 -1.125 0.07574 4.009e+05
12700.0 1000 0.005 0.515 0.016 0.460 0.002016 0.001974 0.001994 5.673e+04 4.529e+04 5.101e+04 1.271 -1.13 0.07092 4.009e+05
12800.0 1000 0.005 0.513 0.016 0.461 0.002016 0.001974 0.001994 5.648e+04 4.552e+04 5.1e+04 1.267 -1.135 0.06611 4.009e+05
12900.0 1000 0.005 0.512 0.016 0.462 0.002016 0.001974 0.001994 5.623e+04 4.575e+04 5.099e+04 1.262 -1.14 0.06129 4.009e+05
13000.0 1000 0.005 0.511 0.016 0.463 0.002016 0.001974 0.001994 5.598e+04 4.598e+04 5.098e+04 1.257 -1.145 0.05648 4.009e+05
13100.0 1000 0.005 0.510 0.016 0.464 0.002016 0.001974 0.001994 5.572e+04 4.621e+04 5.096e+04 1.253 -1.15 0.05166 4.009e+05
13200.0 1000 0.005 0.509 0.016 0.466 0.002016 0.001974 0.001994 5.547e+04 4.644e+04 5.095e+04 1.248 -1.155 0.04684 4.009e+05
13300.0 1000 0.005 0.508 0.016 0.467 0.002016 0.001974 0.001994 5.522e+04 4.667e+04 5.095e+04 1.244 -1.159 0.04203 4.009e+05
13400.0 1000 0.005 0.507 0.017 0.468 0.002016 0.001974 0.001994 5.498e+04 4.69e+04 5.094e+04 1.239 -1.164 0.03721 4.009e+05
13500.0 1000 0.005 0.505 0.017 0.469 0.002016 0.001974 0.001994 5.473e+04 4.713e+04 5.093e+04 1.234 -1.169 0.0324 4.009e+05
13600.0 1000 0.005 0.504 0.017 0.470 0.002016 0.001974 0.001994 5.448e+04 4.737e+04 5.093e+04 1.23 -1.174 0.02758 4.009e+05
13700.0 1000 0.005 0.503 0.017 0.471 0.002016 0.001974 0.001994 5.424e+04 4.76e+04 5.092e+04 1.225 -1.179 0.02277 4.009e+05
13800.0 1000 0.005 0.502 0.017 0.473 0.002016 0.001974 0.001994 5.399e+04 4.784e+04 5.092e+04 1.22 -1.184 0.01795 4.009e+05
13900.0 1000 0.005 0.501 0.017 0.474 0.002016 0.001974 0.001994 5.375e+04 4.808e+04 5.091e+04 1.216 -1.189 0.01314 4.009e+05
14000.0 1000 0.005 0.500 0.017 0.475 0.002016 0.001974 0.001994 5.351e+04 4.831e+04 5.091e+04 1.211 -1.194 0.008321 4.009e+05
14100.0 1000 0.005 0.499 0.017 0.476 0.002016 0.001974 0.001994 5.326e+04 4.855e+04 5.091e+04 1.206 -1.199 0.003505 4.009e+05
14200.0 1000 0.005 0.497 0.017 0.477 0.002016 0.001974 0.001994 5.302e+04 4.879e+04 5.091e+04 1.202 -1.204 -0.00131 4.009e+05
14300.0 1000 0.004 0.496 0.017 0.478 0.002016 0.001974 0.001994 5.278e+04 4.904e+04 5.091e+04 1.197 -1.209 -0.006126 4.009e+05
14400.0 1000 0.004 0.495 0.017 0.480 0.002016 0.001974 0.001994 5.255e+04 4.928e+04 5.091e+04 1.192 -1.214 -0.01094 4.009e+05
14500.0 1000 0.004 0.494 0.017 0.481 0.002016 0.001974 0.001994 5.231e+04 4.952e+04 5.091e+04 1.188 -1.219 -0.01576 4.009e+05
14600.0 1000 0.004 0.493 0.017 0.482 0.002016 0.001974 0.001994 5.207e+04 4.977e+04 5.092e+04 1.183 -1.224 -0.02057 4.009e+05
14700.0 1000 0.004 0.492 0.017 0.483 0.002016 0.001974 0.001994 5.183e+04 5.001e+04 5.092e+04 1.178 -1.229 -0.02539 4.009e+05
14800.0 1000 0.004 0.491 0.017 0.484 0.002016 0.001974 0.001994 5.16e+04 5.026e+04 5.093e+04 1.174 -1.234 -0.0302 4.009e+05
14900.0 1000 0.004 0.490 0.017 0.485 0.002016 0.001974 0.001994 5.136e+04 5.051e+04 5.093e+04 1.169 -1.239 -0.03502 4.009e+05
15000.0 1000 0.004 0.488 0.017 0.487 0.002016 0.001974 0.001994 5.113e+04 5.075e+04 5.094e+04 1.164 -1.244 -0.03983 4.009e+05
15100.0 1000 0.004 0.487 0.017 0.488 0.002016 0.001974 0.001994 5.09e+04 5.1e+04 5.095e+04 1.16 -1.249 -0.04465 4.009e+05
15200.0 1000 0.004 0.486 0.017 0.489 0.002016 0.001974 0.001994 5.067e+04 5.125e+04 5.096e+04 1.155 -1.254 -0.04947 4.009e+05
15300.0 1000 0.004 0.485 0.017 0.490 0.002016 0.001974 0.001994 5.044e+04 5.15e+04 5.097e+04 1.151 -1.259 -0.05428 4.009e+05
15400.0 1000 0.004 0.484 0.017 0.491 0.002016 0.001974 0.001994 5.021e+04 5.176e+04 5.098e+04 1.146 -1.264 -0.0591 4.009e+05
15500.0 1000 0.004 0.483 0.017 0.493 0.002016 0.001974 0.001994 4.998e+04 5.201e+04 5.099e+04 1.141 -1.269 -0.06391 4.009e+05
15600.0 1000 0.004 0.482 0.017 0.494 0.002016 0.001974 0.001994 4.975e+04 5.226e+04 5.101e+04 1.137 -1.274 -0.06873 4.009e+05
15700.0 1000 0.004 0.481 0.017 0.495 0.002016 0.001974 0.001994 4.952e+04 5.252e+04 5.102e+04 1.132 -1.279 -0.07354 4.009e+05
15800.0 1000 0.004 0.480 0.017 0.496 0.002016 0.001974 0.001994 4.93e+04 5.278e+04 5.104e+04 1.127 -1.284 -0.07836 4.009e+05
15900.0 1000 0.004 0.479 0.017 0.498 0.002016 0.001974 0.001994 4.907e+04 5.303e+04 5.105e+04 1.123 -1.289 -0.08317 4.009e+05
